"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"430","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18329/2025-2026/204776","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","21-Aug-2026","ABU MUHAMMEDALI","Payment In-Progress","431499"
"431","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/259392","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","12-Aug-2026","A S CONTRACTOR","Payment In-Progress","2689565"
"432","Uttar Pradesh","Lighting of public spaces","WS/MP198/2025-2026/259394","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Ramji (2020-26) (2020-2026)","Elected MP","27-Jul-2026","A S CONTRACTOR","Payment In-Progress","1613739"
"433","Himachal Pradesh","Providing drains and gutters for public drainage","WS/MP078/2023-2024/25425","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","17-Aug-2026","Ranjeet Singh","Payment In-Progress","266682"
"434","Rajasthan","Construction of public libraries and reading rooms","WS/MP148/2025-2026/254803","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","21-Aug-2026","Shree Krishna Electric Udyog","Payment In-Progress","681456"
"435","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/229075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Aug-2026","Corenet System","Payment In-Progress","28636"
"436","Puducherry","Purchase of IT systems, including hardware and software for educational purposes","WS/MP139/2026-2027/229075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Aug-2026","Universal Diesel Sales and Services","Payment In-Progress","945000"
"437","Himachal Pradesh","Purchase of ambulances (Four, three and two wheelers)","WS/MP18304/2026-2027/282580","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","17-Aug-2026","GOLOK EXPRESS CHARITABLE TRUST","Payment In-Progress","980000"
"438","West Bengal","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18383/2026-2027/229644","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","19-Aug-2026","UNITED OPTICS","Payment In-Progress","490000"
"439","Puducherry","Setting up of laboratories","WS/MP139/2025-2026/190119","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","21-Aug-2026","Selva Constructions","Payment In-Progress","874565"
"440","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","umesh chand","Payment In-Progress","415593"
"441","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","DHARMRAAJ","Payment In-Progress","3705"
"442","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","JITENDRA","Payment In-Progress","5700"
"443","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","KANA TIWARI","Payment In-Progress","5700"
"444","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","MADURI","Payment In-Progress","5700"
"445","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","PITAM SINGH","Payment In-Progress","3705"
"446","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","RAVIYA RANI","Payment In-Progress","5700"
"447","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","SANJAY KUMAR","Payment In-Progress","5700"
"448","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","SUBHAM KUMAR","Payment In-Progress","5700"
"449","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","SUKHDEV KUMAR","Payment In-Progress","15000"
"450","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","UMASANKER TIWARI","Payment In-Progress","5700"
"451","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2026-2027/268924","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","21-Aug-2026","YOGESH KUMAR","Payment In-Progress","4845"
"452","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP106/2026-2027/266827","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","22-Aug-2026","MP STATE COOPERATIVE MARKETING FEDERATION LTD","Payment In-Progress","996198"
