"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"21","Normal/Others","WS/MP187/2023-2024/1370-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 lights)","21-Jun-2023","283000","07-Jul-2023"
"22","Normal/Others","WS/MP187/2023-2024/1371-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 lights)","21-Jun-2023","283000","07-Jul-2023"
"23","Normal/Others","WS/MP187/2023-2024/1372-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"24","Normal/Others","WS/MP187/2023-2024/1373-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"25","Normal/Others","WS/MP187/2023-2024/1374-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"26","Normal/Others","WS/MP187/2023-2024/1375-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask StreetLights ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"27","Normal/Others","WS/MP187/2023-2024/1376-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"28","Normal/Others","WS/MP187/2023-2024/1377-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MaskStreet Lights ( 6 Light)","21-Jun-2023","283000","07-Jul-2023"
"29","Normal/Others","WS/MP187/2023-2024/1378-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
"30","Normal/Others","WS/MP187/2023-2024/1379-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street  Light ( 6 Lights)","21-Jun-2023","283000","07-Jul-2023"
